sku,n_obs,n_eval,perfil,incumbente_mase,incumbente_mape,incumbente_me,naive_mase,naive_mape,naive_me,herramienta_metodo,herramienta_mase,herramienta_mape,herramienta_me,mejora_vs_incumbente_pct,supera_incumbente,supera_naive
PRODUCTO-SINT-29,30,6,sin tendencia,1.0006190886846296,9.718687064280026,190.8988888888889,0.6849252255852598,6.961904325461611,54.93666666666669,auto_arima,0.8982433094507233,8.747720984619113,154.9229685650109,10.231243876077263,True,False
PRODUCTO-SINT-30,36,6,sin tendencia,0.2986957324948825,65.31540816881247,-220.28055555555548,0.17644705700632463,34.38388239427799,-15.178333333333322,naive,0.17644705700632463,34.38388239427799,-15.178333333333322,40.92749316083796,True,False
PRODUCTO-SINT-31,30,6,sin tendencia,0.7761201092359772,8.027887398298066,-22.49666666666667,0.983962698682372,10.011909502237502,-3.955000000000003,naive,0.983962698682372,10.011909502237502,-3.955000000000003,-26.77969388668434,False,False
PRODUCTO-SINT-32,42,6,tendencia,0.8288756169419248,4.166792198006917,-24.44833333333342,1.0158045322686873,5.117146264407536,9.948333333333267,linear_regression,0.8630230489533472,4.416624958832357,-106.43022360521611,-4.11972934339737,False,True
PRODUCTO-SINT-33,42,6,tendencia+estacional,0.6977553985670626,19.320371052942996,343.04,0.4447706032661074,12.366536034855853,99.5166666666667,auto_theta,0.47450548067003334,13.211785214991542,147.69124842006286,31.995441146783513,True,False
PRODUCTO-SINT-34,42,6,sin tendencia+estacional,1.7891838399119948,14.508483907132272,364.04722222222216,0.9967968564342355,8.19886419518739,142.07000000000002,holt_winters,0.6266450545819844,5.132279348958665,77.65443710932755,64.9759269783698,True,True
PRODUCTO-SINT-35,42,6,sin tendencia,1.0632283534754283,187.2683591402154,267.6322222222222,1.0790010294875345,168.46675758025216,477.17333333333335,auto_arima,0.8199014902629271,135.01078969984619,235.28835812645377,22.88566349995524,True,True
PRODUCTO-SINT-36,42,6,sin tendencia,0.48519605728380216,5.832329757661183,30.068888888888978,0.5147304778964674,6.207710509378916,-17.636666666666617,linear_regression,0.3861675503787173,4.674486443375211,3.255077187490618,20.40999827151539,True,True
PRODUCTO-SINT-37,36,6,sin tendencia,0.521310759379198,2.891081339991625,51.902777777777864,0.6890509010725129,3.8661472755419304,29.910000000000007,linear_regression,0.3159193955761015,1.760147156966373,0.2119867626774976,39.39902641711951,True,True
PRODUCTO-SINT-38,42,6,sin tendencia+estacional,2.474242058285298,16.11331167580353,252.52888888888887,1.5588978320897706,9.986576666968448,84.77166666666669,seasonal_naive,0.9711663370085313,6.160451787368021,-123.97666666666662,60.74893587082704,True,True
PRODUCTO-SINT-39,42,6,tendencia+estacional,1.7846549623912846,12.57043763438298,378.7799999999999,1.3803953387339964,9.757145873947609,180.58499999999995,auto_sarima,1.2816858763790113,9.053307345461224,71.71406886061588,28.182987558465523,True,True
PRODUCTO-SINT-40,42,6,sin tendencia,0.4885920046987827,205.52212680137686,-2455.5666666666666,0.5028343914930542,158.97826242404685,-2408.031666666667,ses,0.3360502797098061,136.44267975765845,-1823.7556215940685,31.220675639794532,True,True
