unique_id,n_obs,estado,regimen,ganador,mase_naive,mase_seasonal_naive,mase_ganador,structural_filter
M103,48,ok,no_estacional_con_tendencia,linear_regression,1.147582697201018,1.2606022052586938,0.8276433135983399,True
M303,48,ok,estacional_plano,holt,0.677570093457944,0.5529595015576324,0.6646820011990647,True
M1417,48,ok,no_estacional_con_tendencia,naive,0.6399599046835363,5.3706955965149135,0.6399599046835363,True
M1039,48,ok,no_estacional_plano,auto_arima,0.7613617853070533,4.837541401965576,0.8808257620344896,True
M795,48,ok,estacional_plano,auto_sarima,1.669433962264151,1.1735849056603773,0.415885815727166,True
M1296,48,ok,no_estacional_con_tendencia,auto_arima,1.5840071877807727,6.17026055705301,1.365680186400027,True
M1175,48,ok,no_estacional_con_tendencia,linear_regression,0.4908566444604657,1.4017240154319615,0.3168738533504843,True
M1346,48,ok,estacional_plano,auto_ets,1.3001144523543124,0.6159267323734137,0.21277559895486056,True
M511,48,ok,estacional_con_tendencia,auto_sarima,1.1245206406496728,1.0856079404466499,0.7943189426379822,True
M149,48,ok,no_estacional_plano,holt,0.9474789915966386,1.5982726423902895,0.7857138442303941,True
M585,48,ok,no_estacional_plano,auto_arima,0.3151981076286221,4.798844561706773,0.462930339633169,True
M204,48,ok,no_estacional_plano,ses,1.126828038325769,1.1750714405782485,1.0252325291690294,True
M1046,48,ok,no_estacional_con_tendencia,naive,1.0047690921463148,4.368203157170556,1.0047690921463148,True
M1088,48,ok,no_estacional_con_tendencia,auto_arima,0.2642062097246632,7.1910410913047125,0.29251401790944853,True
M817,48,ok,no_estacional_plano,auto_arima,0.3368544600938967,1.278672032193159,0.297897874695143,True
M933,48,ok,estacional_con_tendencia,auto_sarima,2.006926722566533,2.5587445729625826,0.36925565007711864,True
M409,48,ok,no_estacional_plano,weighted_moving_average,0.6490106544901066,0.49299847792998475,0.7357534246575342,True
M1324,48,ok,estacional_con_tendencia,holt_winters,1.6252940144048875,1.5837546314238327,0.8744210095321793,True
M1353,48,ok,estacional_con_tendencia,auto_sarima,1.5237823981771577,0.8174309313585874,0.7924137038953575,False
M206,48,ok,no_estacional_plano,linear_regression,0.8263565891472868,1.5573643410852713,1.0581528736300359,False
M1041,48,ok,no_estacional_plano,auto_arima,1.7578499609454221,5.62404281269992,1.6599132154780303,False
M516,48,ok,no_estacional_plano,mean,0.5575585072738773,0.5640417457305503,0.8682001317508936,False
M201,48,ok,estacional_con_tendencia,holt,1.3660714285714286,1.0580357142857144,1.0682067905159018,False
M1143,48,ok,no_estacional_plano,holt,1.0519502859685337,4.758616009288643,1.46409443731726,False
M914,48,ok,no_estacional_con_tendencia,auto_arima,0.6972584105595998,2.145666573220225,0.9562122988379552,False
M100,48,ok,estacional_con_tendencia,auto_theta,1.0315265486725664,1.095132743362832,0.8075938670484153,False
M635,48,ok,no_estacional_plano,auto_arima,0.6668343393695506,2.9010731052984577,0.5277943379799873,False
M708,48,ok,estacional_plano,auto_ets,0.8564973971122679,0.7435418917591593,0.6319849599078039,False
M750,48,ok,estacional_plano,auto_sarima,0.8297469915846605,0.36347687837504455,0.23201347691097965,False
M1414,48,ok,no_estacional_con_tendencia,holt,1.1507840168770607,11.43391733351546,0.9743168945030236,False
M899,48,ok,no_estacional_con_tendencia,naive,1.2037867443182078,7.922056530337263,1.2037867443182078,False
M353,48,ok,no_estacional_plano,mean,0.5556516724336793,0.8275663206459055,0.5802642081426191,False
M223,48,ok,no_estacional_plano,linear_regression,0.4146877748460862,0.7031662269129287,0.36058648543647864,False
M362,48,ok,no_estacional_plano,holt,0.7220790378006872,1.0214776632302405,0.5633724832892839,False
M905,48,ok,no_estacional_plano,holt,0.38178801819996233,5.242852518837045,0.6372379475670019,False
M474,48,ok,no_estacional_plano,auto_arima,0.3472806011972997,0.561393453063304,0.38992458330284924,False
M460,48,ok,no_estacional_con_tendencia,naive,0.6584201388888888,0.9253472222222223,0.6584201388888888,False
M662,48,ok,estacional_con_tendencia,seasonal_naive,0.8502710027100271,1.0840108401084012,1.0840108401084012,False
