unique_id,n_obs,estado,regimen,ganador,mase_naive,mase_seasonal_naive,mase_ganador,max_len,structural_filter
M609,36,ok,no_estacional_plano,weighted_moving_average,0.5398224988473951,1.4205855232826188,0.5526077685569387,36,True
M1080,36,ok,estacional_plano,moving_average,0.6111111111111112,0.7222222222222222,0.7808641975308641,36,True
M636,36,ok,no_estacional_plano,mean,0.7942890442890443,0.8956876456876457,0.7913488068112766,36,True
M771,36,ok,estacional_con_tendencia,naive,0.7510664229128581,1.7966686979484054,0.7510664229128581,36,True
M1338,36,ok,estacional_plano,ses,0.8081437365584375,0.6659831604976969,0.8490968578902103,36,True
M1014,36,ok,no_estacional_plano,linear_regression,0.8983027243088112,3.2927171996051334,1.5321808759761852,36,True
M725,36,ok,no_estacional_plano,ses,0.8713967378113062,1.8203467941587104,1.729876690589507,36,True
M666,36,ok,estacional_con_tendencia,auto_arima,0.5983271375464684,0.9361214374225526,0.44587718601203796,36,True
M1251,36,ok,no_estacional_plano,auto_arima,1.1621699402834735,4.213648463918267,1.148644130290845,36,True
M615,36,ok,estacional_con_tendencia,holt,0.5228011375177737,0.5110197034328662,0.3364245465853619,36,True
M1011,36,ok,estacional_con_tendencia,holt,0.6344272623375975,1.4050932992786567,1.1685933134268685,36,True
M689,36,ok,estacional_plano,ses,2.355767711434296,0.3111391316988693,2.3498483235550642,36,True
M1307,36,ok,no_estacional_plano,naive,1.8333333333333333,5.166666666666666,1.8333333333333333,36,True
M1155,36,ok,no_estacional_plano,naive,1.0202888446010863,2.3766642185940534,1.0202888446010863,36,True
M680,36,ok,no_estacional_con_tendencia,naive,0.7527322404371585,2.4959016393442623,0.7527322404371585,36,True
M533,36,ok,no_estacional_plano,naive,6.234714003944774,5.5006574621959246,6.234714003944774,36,True
M1217,36,ok,no_estacional_plano,ses,0.8364759255090829,0.9314206267528201,0.8508208337402743,36,True
M510,36,ok,estacional_con_tendencia,auto_arima,1.1593368451141328,1.3707174649842786,0.9502881745628498,36,True
M300,36,ok,no_estacional_plano,linear_regression,0.7103450495686879,1.219067851165186,0.560222933837231,36,True
M250,36,ok,no_estacional_plano,mean,1.0825011887779363,0.923918212077984,0.6937996826994013,36,True
M816,36,ok,no_estacional_con_tendencia,auto_arima,0.15449010654490106,4.35882800608828,0.10271853755291857,36,True
M369,36,ok,no_estacional_plano,auto_arima,1.0374579124579122,0.8787878787878787,0.8947731159662863,36,True
M880,36,ok,no_estacional_con_tendencia,linear_regression,1.25997150997151,5.184472934472934,0.9407761747558646,36,True
M74,36,ok,no_estacional_con_tendencia,auto_arima,1.2049295774647888,0.9036971830985916,0.7096392037018919,36,True
M224,36,ok,no_estacional_plano,linear_regression,1.1689922480620154,1.1689922480620154,0.649378672096723,36,True
